Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
04-05-2007,1130,1161.7,1125,1128.75,1144.25531,576745,13020,659943529,44566,7.73,36.7,-1.25
03-05-2007,1125,1136,1112.6,1122.25,1120.549435,246362,6270,276060800,45736,18.56,23.4,-2.75
30-04-2007,1090.05,1114,1065,1105.25,1089.471832,584770,9509,637090443,136428,23.33,49,15.2
27-04-2007,1147.8,1152.25,1091.55,1098.8,1117.980323,671179,13598,750364915,99299,14.79,60.7,-49
26-04-2007,1145,1165,1137.2,1146.05,1152.701026,396500,10604,457045957,40613,10.24,27.8,1.05
25-04-2007,1134,1153,1125,1139.1,1141.12925,484471,10703,552844029,81662,16.86,28,5.1
24-04-2007,1060,1143,1040.1,1132.9,1114.327664,1583417,32042,1764445366,227448,14.36,102.9,72.9
23-04-2007,1090,1090,1055,1060,1064.986086,361724,9758,385231027,53667,14.84,35,-30
20-04-2007,1059.9,1084.9,1041.1,1074.6,1064.16766,822869,15134,875670578,227669,27.67,43.8,14.7
19-04-2007,1029,1062.4,1014,1053.25,1044.416117,905948,21205,946186692,83713,9.24,48.4,24.25
18-04-2007,1012,1040.5,1012,1035.45,1025.674944,379322,10209,389061071,59077,15.57,28.5,23.45
17-04-2007,1016.2,1028.6,997.65,1008.7,1013.959567,408310,10904,414009831,18723,4.59,30.95,-7.5
16-04-2007,1003.5,1021.8,1003.5,1013.75,1012.603662,358997,7874,363521677,91757,25.56,18.3,10.25
13-04-2007,973.9,1014.3,970,999.3,998.6816771,581086,13009,580319941,90421,15.56,44.3,25.4
12-04-2007,971.2,976,960.1,967.9,968.4880212,318814,6904,308767540,40790,12.79,15.9,-3.3
11-04-2007,988,1002,978,981.2,992.8585189,425138,8775,422101885,31160,7.33,24,-6.8
10-04-2007,990,998.5,965.7,989.75,980.2390037,474432,11508,465056751,61114,12.88,32.8,-0.25
09-04-2007,952,994.9,948.6,988.75,982.5193494,428126,10345,420642079,59743,13.95,46.3,36.75
05-04-2007,935,956,926.15,947.95,944.2451445,502320,11736,474313221,74007,14.73,29.85,12.95
